Date,Nombre de passages
2023-06-06,283043
2023-06-07,278702
2023-06-08,287372
2023-06-09,253887
2023-06-10,186983
2023-06-11,151506
2023-06-12,239983
2023-06-13,283293
2023-06-14,281341
2023-06-15,285912
2023-06-16,253320
2023-06-17,183634
2023-06-18,139177
2023-06-19,228157
2023-06-20,258427
2023-06-21,287586
2023-06-22,195307
2023-06-23,252108
2023-06-24,193921
2023-06-25,167815
2023-06-26,246344
2023-06-27,271387
2023-06-28,264567
2023-06-29,253949
2023-06-30,240147
2023-07-01,156286
2023-07-02,156918
2023-07-03,237996
2023-07-04,229361
2023-07-05,240576
2023-07-06,261416
2023-07-07,225827
2023-07-08,165930
2023-07-09,131792
2023-07-10,226079
2023-07-11,249522
2023-07-12,240606
2023-07-13,207499
2023-07-14,136950
2023-07-15,127237
2023-07-16,126017
2023-07-17,204645
2023-07-18,237441
2023-07-19,237815
2023-07-20,236759
2023-07-21,199253
2023-07-22,161649
2023-07-23,107058
2023-07-24,172685
2023-07-25,161907
2023-07-26,215131
2023-07-27,163592
2023-07-28,112944
2023-07-29,118509
2023-07-30,122026
2023-07-31,115127
2023-08-01,158874
2023-08-02,121044
2023-08-03,110522
2023-08-04,117446
2023-08-05,85971
2023-08-06,93250
2023-08-07,131569
2023-08-08,146655
2023-08-09,142909
2023-08-10,143681
2023-08-11,105980
2023-08-12,90339
2023-08-13,87046
2023-08-14,90830
2023-08-15,95489
2023-08-16,127011
2023-08-17,134787
2023-08-18,122473
2023-08-19,95921
2023-08-20,103932
2023-08-21,145725
2023-08-22,166569
2023-08-23,169930
2023-08-24,161159
2023-08-25,147597
2023-08-26,132891
2023-08-27,114346
2023-08-28,183240
2023-08-29,225625
2023-08-30,221923
2023-08-31,197698
